manual_transcript,source
淄博市的天气怎么样？,city
我想点播林俊杰怀秋,music
温哥华的天气怎么样？,city
我想点播电视剧《一日情深》。,video
淮安市的天气怎么样？,city
我想点播一零二二女声的音乐。,music
福州的天气怎么样？,city
我想看电视剧《在人间》。,video
我想点播电视剧《红日》。,video
我想看电视剧麻雀,video
江门的天气怎么样？,city
深圳的天气怎么样？,city
南通今天的天气怎么样？,city
上饶市的天气怎么样？,city
我想点播小伴龙儿歌,video
我想点播汪苏泷的《无言的爱》,music
我想点播刘芳的《无言的爱》,music
莆田市的天气怎么样？,city
鸡西的天气怎么样？,city
我想点播黄子龙的音乐,music
德宏自治州的天气怎么样？,city
日喀则市的天气怎么样？,city
我想点播兔小贝儿歌的三个和尚的点播视频。,video
我想看百家讲坛的点播视频,video
我想看电影父子返乡,video
威海的天气如何？,city
宿迁市的天气怎么样？,city
澳门今天的天气如何？,city
肇庆市的天气怎么样？,city
襄阳今天的天气怎么样？,city
我想看《证据搜查线》,video
香港的天气怎么样？,city
我想看蓝精灵的点播视频,video
遵义市的天气怎么样？,city
我想点播陈熙珵的音乐,music
海北藏族自治州的天气怎么样？,city
我想看电视剧千字文,video
我想点播马希尔的《无畏》,music
我想看黄金时代的点播视频,video
宜宾的天气怎么样？,city
四平的天气怎么样？,city
我想点播丁小青的音乐,music
我想点播电视剧大秦帝国,video
深圳天气怎么样？,city
我想听王力宏的《无言的爱》,music
宿州的天气怎么样？,city
我想听蔡少芬的音乐,music
我想看电视剧《容易受伤的女人》。,video
自贡的天气如何？,city
福州的天气怎么样？,city
湘西苗族自治州的天气怎么样？,city
我想点播黄品源的音乐,music
我想看美丽生活的点播视频,video
伊犁的天气怎么样？,city
我想看樱桃小丸子。,video
我想看打狗棍的点播视频,video
我想点播陆逖的音乐,music
我想点播陈磊的音乐,music
悉尼的天气如何？,city
我想听再循环的《再循环》,music
我想点播胡夏的《我不怕黑夜》,music
我想点播吴俊泽的音乐,music
深圳的天气怎么样？,city
我想点播舞曲大帝国的音乐,music
六安的天气怎么样？,city
深圳的天气怎么样？,city
我想点播马爱媛的《爱之旅》,music
深圳的天气怎么样？,city
达州的天气怎么样？,city
德州市的天气怎么样？,city
罗马的天气怎么样？,city
克拉玛依市的天气怎么样？,city
辽宁省的天气怎么样？,city
鄂州市的天气怎么样？,city
珠海今天的天气怎么样？,city
黔南布依族苗族自治州的天气怎么样？,city
深圳的天气怎么样？,city
九江的天气怎么样？,city
我想看电视剧《格纳尔》。,video
深圳的天气怎么样？,city
扬州市的天气怎么样？,city
昌吉的天气怎么样？,city
我想点播电视剧芈月传,video
我想点播《猫跟老鼠》,video
我想看黑色追缉令的点播视频,video
我想点播亲宝儿歌,video
我想点播藤田惠美的音乐,music
深圳的天气怎么样？,city
曲靖市的天气怎么样？,city
我想点播龙神道的音乐,music
我想点播刘紫玲的音乐,music
松原市的天气怎么样？,city
深圳的天气怎么样？,city
榆林市的天气怎么样？,city
我想点播电视剧倩女幽魂,video
我想看点播视频《闪电约会》。,video
我想点播卢海鹏的音乐,music
我想看爵士歌手的音乐视频,video
我想点播米奇妙妙屋,video
香格里拉市的天气怎么样？,city
