path,manual_transcript
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0062/BAC009S0062W0234.wav,属于非营利事业法人
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0354/BAC009S0354W0137.wav,转向多业态多上市平台的控股集团
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0109/BAC009S0109W0493.wav,鞠躬尽瘁但求无愧于心的人生格言
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0127/BAC009S0127W0442.wav,中企收购法足球俱乐部法媒中国想搞足球大跃进
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0156/BAC009S0156W0329.wav,多位接受采访的市场分析人士告诉记者
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0067/BAC009S0067W0490.wav,煎饼侠的鹏友圈
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0206/BAC009S0206W0265.wav,除了放置待销售的库存产品外
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0224/BAC009S0224W0375.wav,等待的是终结对手的那一刻
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0353/BAC009S0353W0437.wav,一家七口吃蘑菇中毒
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0236/BAC009S0236W0371.wav,但是比赛实力还是有欠缺
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0072/BAC009S0072W0232.wav,这是中国对外劳务合作领域的首部专门法规
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0127/BAC009S0127W0193.wav,令低碳产业成为上海新一轮发展的增长点
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0054/BAC009S0054W0424.wav,古仔决定明年开拍
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0090/BAC009S0090W0358.wav,如冠军成绩未达到以上标准
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0119/BAC009S0119W0492.wav,杭州警方依法对通过网络散布谣言人员米某某男
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0344/BAC009S0344W0181.wav,万科全面发力大北京战略的标志性大盘
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0205/BAC009S0205W0331.wav,动作恰恰不是机器人的主要功能
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0347/BAC009S0347W0372.wav,孙杨让队伍的成绩最终定格在三分二十秒三六
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0347/BAC009S0347W0444.wav,最终工作人员赶到按下紧急按钮电梯才停下来
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0083/BAC009S0083W0192.wav,同时港交所也将增加资金投入
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0136/BAC009S0136W0420.wav,还表示女儿已答应开学前会搬回家住
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0146/BAC009S0146W0489.wav,预售十月一日国庆假期当天的车票
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0664/BAC009S0664W0493.wav,二名城管及驾驶奔驰车的馀某在事件中受伤
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0522/BAC009S0522W0208.wav,在产品设计上不用花太多成本
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0109/BAC009S0109W0219.wav,以降低决策的随意性
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0019/BAC009S0019W0297.wav,在一些市场研究机构眼中
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0513/BAC009S0513W0133.wav,这对智能门锁而言尤其可怕
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0343/BAC009S0343W0217.wav,申请重新上市的公司
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0666/BAC009S0666W0199.wav,与正规的金融形成一种竞争
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0520/BAC009S0520W0333.wav,庞大集团将专门注册一家销售公司
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0090/BAC009S0090W0193.wav,或者不愿意进行调整
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0157/BAC009S0157W0201.wav,保护投资者合法权益
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0136/BAC009S0136W0161.wav,上涨的城市有四十三个
/home/v2129375/dataset/aishell1/data_aishell/wav/train/S0232/BAC009S0232W0341.wav,涌现出诸如方阵表演手语传情等形式
