manual_transcript,source,path
我想点播苹果妹妹的音乐,music,/home/v2129375/dataset/tts_audio/audio_0000.wav
连云港市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0001.wav
渭南的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0002.wav
盐城市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0003.wav
我想看解救吾先生的点播视频,video,/home/v2129375/dataset/tts_audio/audio_0004.wav
我想点播黄锦雯的音乐,music,/home/v2129375/dataset/tts_audio/audio_0005.wav
兰州的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0006.wav
我想点播刘紫玲的音乐,music,/home/v2129375/dataset/tts_audio/audio_0007.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0008.wav
锦州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0009.wav
台南天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0010.wav
我想看点播电视剧辽沈战役,video,/home/v2129375/dataset/tts_audio/audio_0011.wav
承德市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0012.wav
恩施土家族苗族自治州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0013.wav
我想点播彗星美人,video,/home/v2129375/dataset/tts_audio/audio_0014.wav
潍坊的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0015.wav
我想看电视剧千字文,video,/home/v2129375/dataset/tts_audio/audio_0016.wav
无锡市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0017.wav
安阳的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0018.wav
我想点播莎婳的《无言的爱》,music,/home/v2129375/dataset/tts_audio/audio_0019.wav
我想点播零点乐队的音乐,music,/home/v2129375/dataset/tts_audio/audio_0020.wav
丽江市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0021.wav
我想听徐贤的音乐,music,/home/v2129375/dataset/tts_audio/audio_0022.wav
我想点播庞龙的音乐,music,/home/v2129375/dataset/tts_audio/audio_0023.wav
我想点播容祖儿的音乐,music,/home/v2129375/dataset/tts_audio/audio_0024.wav
抚顺的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0025.wav
我想看电视剧三毛流浪记,video,/home/v2129375/dataset/tts_audio/audio_0026.wav
佛山的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0027.wav
南宁的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0028.wav
我想点播郑俊英的音乐,music,/home/v2129375/dataset/tts_audio/audio_0029.wav
我想点播电视剧《白雪公主》。,video,/home/v2129375/dataset/tts_audio/audio_0030.wav
