manual_transcript,path,source
我想点播苹果妹妹的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0000.wav,music
连云港市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0001.wav,city
渭南的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0002.wav,city
盐城市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0003.wav,city
我想看解救吾先生的点播视频,/home/v2129375/dataset/tts_audio_diff_ref/audio_0004.wav,video
我想点播黄锦雯的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0005.wav,music
兰州的天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0006.wav,city
我想点播刘紫玲的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0007.wav,music
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0008.wav,city
锦州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0009.wav,city
台南天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0010.wav,city
我想看点播电视剧辽沈战役,/home/v2129375/dataset/tts_audio_diff_ref/audio_0011.wav,video
承德市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0012.wav,city
恩施土家族苗族自治州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0013.wav,city
我想点播彗星美人,/home/v2129375/dataset/tts_audio_diff_ref/audio_0014.wav,video
潍坊的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0015.wav,city
我想看电视剧千字文,/home/v2129375/dataset/tts_audio_diff_ref/audio_0016.wav,video
无锡市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0017.wav,city
安阳的天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0018.wav,city
我想点播莎婳的《无言的爱》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0019.wav,music
我想点播零点乐队的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0020.wav,music
丽江市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0021.wav,city
我想听徐贤的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0022.wav,music
我想点播庞龙的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0023.wav,music
我想点播容祖儿的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0024.wav,music
抚顺的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0025.wav,city
